Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
168,-99.79423844239828,-107.13405670256623,2,2.8,0,0.0,,0.0,0.0,,,0.0,,,
169,-100.01,-107.13405670256621,1,2.8,0,0.0,,0.0,0.0,,,0.0,,,
170,-100.01,-106.84519329549559,1,2.75,0,0.0,,0.0,0.0,,,0.0,,,
171,-100.01,-106.84519329549559,1,2.75,0,0.0,,0.0,0.0,,,0.0,,,
172,-100.01,-106.84519329549559,1,2.75,0,0.0,,0.0,0.0,,,0.0,,,
173,-100.01,-106.84519329549559,1,2.75,0,0.0,,0.0,0.0,,,0.0,,,
174,-98.95118147635358,-106.68499810743332,5,2.78,0,0.0,,0.0,0.0,,,0.0,,,
175,-99.74445685595782,-106.6823426759929,2,2.79,0,0.0,,0.0,0.0,,,0.0,,,
176,-99.62837921192029,-106.68053926977316,3,2.79,0,0.0,,0.0,0.0,,,0.0,,,
177,-100.01,-106.5321077096366,1,2.77,0,0.0,,0.0,0.0,,,0.0,,,
178,-99.62963401858,-106.3821202577032,3,2.77,0,0.0,,0.0,0.0,,,0.0,,,
179,-99.80292469364265,-106.38095474442966,3,2.78,0,0.0,,0.0,0.0,,,0.0,,,
180,-142.06146449420862,-106.80237951107497,4,2.8,0,0.0,,0.0,0.0,,,0.0,,,
181,-99.79484594938032,-106.80112376135823,2,2.8,0,0.0,,0.0,0.0,,,0.0,,,
182,-100.01,-106.88806223312336,1,2.74,0,0.0,,0.0,0.0,,,0.0,,,
183,-99.85434994844461,-106.8865057326078,3,2.76,0,0.0,,0.0,0.0,,,0.0,,,
184,-114.79409255895895,-107.03770370553764,2,2.74,0,0.0,,0.0,0.0,,,0.0,,,
185,-99.80330587289158,-107.04079484419982,3,2.73,0,0.0,,0.0,0.0,,,0.0,,,
186,-99.85257364219879,-107.0392205806218,3,2.75,0,0.0,,0.0,0.0,,,0.0,,,
187,-100.01,-107.03922058062182,1,2.75,0,0.0,,0.0,0.0,,,0.0,,,
188,-100.01,-107.03922058062182,1,2.75,0,0.0,,0.0,0.0,,,0.0,,,
189,-100.01,-107.04011961271702,1,2.74,0,0.0,,0.0,0.0,,,0.0,,,
190,-98.5927307287538,-107.02797654471587,4,2.75,0,0.0,,0.0,0.0,,,0.0,,,
191,-100.01,-107.02797654471587,1,2.75,0,0.0,,0.0,0.0,,,0.0,,,
192,-128.00640569044137,-107.35648132075664,3,2.68,0,0.0,,0.0,0.0,,,0.0,,,
193,-94.90476584296583,-107.30633841881146,6,2.72,0,0.0,,-0.00011071003973484039,4260.957356770833,,,1.0373791654904683,,,
194,-100.01,-106.86216633170808,1,2.66,0,0.0,,0.0,0.0,,,0.0,,,
195,-100.01,-106.86420427685982,1,2.64,0,0.0,,0.0,0.0,,,0.0,,,
196,-99.80220711647708,-106.86212634802462,3,2.66,0,0.0,,0.0,0.0,,,0.0,,,
197,-99.91956205599854,-106.86212595040227,2,2.66,0,0.0,,0.0,0.0,,,0.0,,,
198,-100.01,-106.8621259504023,1,2.66,0,0.0,,0.0,0.0,,,0.0,,,
199,-94.70997935061386,-106.53136189821718,6,2.68,0,0.0,,0.0,0.0,,,0.0,,,
200,-99.12733457643353,-106.5830709284966,5,2.65,0,0.0,,0.0,0.0,,,0.0,,,
201,-99.91990598356638,-106.58216998833224,2,2.66,0,0.0,,0.0,0.0,,,0.0,,,
